date,nav
2026-04-26,1.0
2026-04-27,1.1686
2026-04-28,1.1663
2026-04-29,1.1759
2026-04-30,1.1721
2026-05-01,1.1987
2026-05-02,1.2235
2026-05-03,1.2269
2026-05-04,1.2364
2026-05-05,1.2441
2026-05-06,1.255
2026-05-07,1.2288
2026-05-08,1.2306
2026-05-09,1.3423
2026-05-10,1.3964
2026-05-11,1.4167
2026-05-12,1.409
2026-05-13,1.4145
2026-05-14,1.4535
2026-05-15,1.4445
2026-05-16,1.4103
2026-05-17,1.4057
2026-05-18,1.3932
2026-05-19,1.3714
2026-05-20,1.3034
2026-05-21,1.2552
2026-05-22,1.2681
2026-05-23,1.2139
2026-05-24,1.2139
2026-05-25,1.2139
2026-05-26,1.2139
2026-05-27,1.217
2026-05-28,1.2212
2026-05-29,1.6672
2026-05-30,1.7045
2026-05-31,1.7088
2026-06-01,1.7177
2026-06-02,1.6851
2026-06-03,2.0254
2026-06-04,2.0403
2026-06-05,1.9569
2026-06-06,2.0666
2026-06-07,2.1116
2026-06-08,2.1095
2026-06-09,2.1269
2026-06-10,2.1111
2026-06-11,2.2191
2026-06-12,2.2267
2026-06-13,2.2267
2026-06-14,2.2267
2026-06-15,2.2095
2026-06-16,2.2241
2026-06-17,2.1824
2026-06-18,2.1758
2026-06-19,2.1777
2026-06-20,2.1777
2026-06-21,2.1777
2026-06-22,2.1777
2026-06-23,2.1602
2026-06-24,2.169
2026-06-25,2.1887
2026-06-26,2.0574
2026-06-27,2.0574
2026-06-28,2.0574
2026-06-29,2.1254
2026-06-30,2.1685
2026-07-01,2.1642
2026-07-02,2.1541
2026-07-03,2.1307
2026-07-04,2.1307
2026-07-05,2.1307
2026-07-06,2.1307
2026-07-07,2.1322
2026-07-08,2.1417
2026-07-09,2.0046
2026-07-10,2.0046
2026-07-11,2.0046
2026-07-12,2.0046
2026-07-13,2.0046
2026-07-14,2.0116
